"","consumo","motor","cv","peso","acel","año","cilindr","origen"
"1",13,5031,130,1168,12,70,8,1
"2",16,5735,165,1231,11.5,70,8,1
"3",13,5211,150,1145,11,70,8,1
"4",15,4982,150,1144,12,70,8,1
"5",14,4949,140,1149,10.5,70,8,1
"6",16,7030,198,1447,10,70,8,1
"7",17,7440,220,1451,9,70,8,1
"8",17,7210,215,1437,8.5,70,8,1
"9",17,7456,225,1475,10,70,8,1
"10",16,6391,190,1283,8.5,70,8,1
"11",11,2179,115,1030,17.5,70,4,2
"12",16,5735,NA,1380,11.5,70,8,1
"13",NA,5752,153,1344,11,70,8,1
"14",17,6276,175,NA,10.5,70,8,1
"15",NA,5899,175,1283,11,70,8,1
"16",16,6276,170,1187,10,70,8,1
"17",17,5572,160,1203,8,70,8,1
"18",15,4949,140,1117,8,70,8,1
"19",16,6555,150,1253,9.5,70,8,1
"20",17,7456,225,1028,10,70,8,1
"21",10,1852,95,790,15,70,4,3
"22",11,3245,95,944,15.5,70,6,1
"23",13,3261,97,924,15.5,70,6,1
"24",11,3277,85,862,16,70,6,1
"25",9,1590,88,710,14.5,70,4,3
"26",9,1590,46,611,20.5,70,4,2
"27",9,1803,87,890,17.5,70,4,2
"28",10,1753,90,810,14.5,70,4,2
"29",9,1704,95,791,17.5,70,4,2
"30",9,1983,113,744,12.5,70,4,2
"31",11,3261,90,882,15,70,6,1
"32",24,5899,215,1538,14,70,8,1
"33",24,5031,200,1458,15,70,8,1
"34",21,5211,210,1460,13.5,70,8,1
"35",26,66,93,244,8.5,0,NA,NA
"36",9,1590,88,710,14.5,71,4,3
"37",8,2294,90,754,15.5,71,4,1
"38",9,1852,95,742,14,71,4,3
"39",9,1606,NA,682,19,71,4,1
"40",NA,1590,48,659,20,71,4,2
"41",12,3802,100,878,13,71,6,1
"42",15,3687,105,1146,15.5,71,6,1
"43",14,4097,100,1109,15.5,71,6,1
"44",12,4097,88,1100,15.5,71,6,1
"45",13,3802,100,1096,15.5,71,6,1
"46",17,5735,165,1403,12,71,8,1
"47",17,6555,175,1488,11.5,71,8,1
"48",17,5752,153,1384,13.5,71,8,1
"49",17,5211,150,1365,13,71,8,1
"50",20,6276,180,1651,11.5,71,8,1
"51",18,6555,170,1582,12,71,8,1
"52",18,6555,175,1713,12,71,8,1
"53",13,4228,110,987,13.5,71,6,1
"54",11,2294,72,802,19,71,4,1
"55",12,4097,100,1094,15,71,6,1
"56",13,4097,88,1046,14.5,71,6,1
"57",10,1999,86,740,14,71,4,1
"58",8,1901,90,707,14,71,4,2
"59",8,1295,70,691,19.5,71,4,2
"60",8,1442,76,688,14.5,71,4,2
"61",8,1163,65,591,19,71,4,3
"62",7,1180,69,537,18,71,4,3
"63",9,1590,60,611,19,71,4,2
"64",9,1491,70,651,20.5,71,4,1
"65",10,1852,95,759,15.5,72,4,3
"66",9,1598,80,708,17,72,4,1
"67",10,1590,54,751,23.5,72,4,2
"68",12,2294,90,802,19.5,72,4,1
"69",11,1999,86,742,16.5,72,4,1
"70",18,5735,165,1424,12,72,8,1
"71",17,6555,175,1461,12,72,8,1
"72",16,5211,150,1378,13.5,72,8,1
"73",17,5752,153,1376,13,72,8,1
"74",14,4982,150,1224,11.5,72,8,1
"75",21,7030,208,1544,11,72,8,1
"76",18,5735,155,1500,13.5,72,8,1
"77",20,5735,160,1485,13.5,72,8,1
"78",18,6555,190,1474,12.5,72,8,1
"79",12,1147,97,776,13.5,72,3,3
"80",16,4982,150,1297,12.5,72,8,1
"81",18,5031,130,1366,14,72,8,1
"82",18,4949,140,1431,16,72,8,1
"83",17,5211,150,1359,14,72,8,1
"84",13,1983,112,977,14.5,72,4,2
"85",11,1983,76,837,18,72,4,2
"86",11,1966,87,993,19.5,72,4,2
"87",9,1573,69,729,18,72,4,2
"88",11,1999,86,798,16,72,4,1
"89",8,1590,92,762,17,72,4,3
"90",10,1966,97,835,14.5,72,4,3
"91",8,1606,80,721,15,72,4,1
"92",9,1590,88,700,16.5,72,4,3
"93",18,5735,175,1366,13,73,8,1
"94",17,4982,150,1224,11.5,73,8,1
"95",18,5735,145,1329,13,73,8,1
"96",17,4949,137,1347,14.5,73,8,1
"97",16,5211,150,1259,12.5,73,8,1
"98",20,7030,198,1650,11.5,73,8,1
"99",18,6555,150,1488,12,73,8,1
"100",18,5752,158,1454,13,73,8,1
"101",17,5211,150,1412,14.5,73,8,1
"102",18,7210,215,1578,11,73,8,1
"103",20,7456,225,1650,11,73,8,1
"104",18,5899,175,1273,11,73,8,1
"105",13,3687,105,1040,16.5,73,6,1
"106",15,4097,100,1092,18,73,6,1
"107",13,3802,100,981,16,73,6,1
"108",13,4097,88,1007,16.5,73,6,1
"109",10,3245,95,968,16,73,6,1
"110",9,1590,46,650,21,73,4,2
"111",21,6555,150,1665,14,73,8,1
"112",20,6555,167,1635,12.5,73,8,1
"113",18,5899,170,1551,13,73,8,1
"114",20,5735,180,1499,12.5,73,8,1
"115",13,3802,100,929,15,73,6,1
"116",12,1590,88,759,19,73,4,3
"117",11,2294,72,800,19.5,73,4,1
"118",11,1770,94,793,16.5,73,4,3
"119",13,1147,90,708,13.5,73,3,3
"120",12,1999,85,770,18.5,73,4,1
"121",11,2540,107,824,14,73,6,1
"122",9,1606,90,755,15.5,73,4,2
"123",16,5735,145,1360,13,73,8,1
"124",15,6555,230,1426,9.5,73,8,1
"125",8,1114,49,622,19.5,73,4,2
"126",10,1901,75,719,15.5,73,4,2
"127",12,1868,91,860,14,73,4,2
"128",12,1983,112,956,15.5,73,4,2
"129",16,5211,150,1133,11,73,8,1
"130",10,1983,110,886,14,73,4,2
"131",12,2556,122,935,13.5,73,6,3
"132",21,5735,180,1221,11,73,8,1
"133",12,3245,95,1034,16.5,74,6,1
"134",11,3277,90,958,17,74,6,1
"135",12,3802,100,967,16,74,6,1
"136",16,4097,100,1112,17,74,6,1
"137",8,1295,67,650,19,74,4,3
"138",9,1999,80,817,16.5,74,4,1
"139",7,1163,65,612,21,74,4,3
"140",9,2294,75,847,17,74,4,1
"141",15,4097,100,1260,17,74,6,1
"142",15,4228,110,1210,18,74,6,1
"143",13,3687,105,1204,16.5,74,6,1
"144",15,4949,140,1380,14,74,8,1
"145",18,5735,150,1566,14.5,74,8,1
"146",17,5211,150,1485,13.5,74,8,1
"147",17,4949,140,1546,16,74,8,1
"148",17,4982,150,1419,15.5,74,8,1
"149",8,1606,83,739,16.5,74,4,2
"150",9,1295,67,654,15.5,74,4,2
"151",9,1590,78,766,14.5,74,4,2
"152",8,1245,52,549,16.5,74,4,3
"153",7,1360,61,667,19,74,4,3
"154",8,1475,75,708,14.5,74,4,1
"155",10,1475,75,702,15.5,74,4,2
"156",9,1901,75,748,14,74,4,2
"157",10,1966,97,829,15,74,4,3
"158",9,1770,93,797,15.5,74,4,3
"159",8,1295,67,666,16,74,4,2
