"ID","TARGET_D","GiftCnt36","GiftCntAll","GiftCntCardAll","GiftAvgLast","GiftAvg36","GiftAvgAll","GiftTimeLast","GiftTimeFirst","DemAge","DemGender","DemHomeOwner","DemMedHomeValue","DemPctVeterans","DemMedIncome"
120115,200,4,8,5,50,43.75,40.88,24,68,27,"M","U",27400,44,33874
189943,200,4,25,17,250,64.25,12.76,17,129,81,"M","U",143700,45,71429
191779,150,1,1,1,25,25,25,24,24,70,"M","U",143200,62,79635
12573,102,6,28,17,133,99.83,63.04,5,127,17,"F","U",137500,0,0
44060,100,2,5,2,30,27.5,28,26,68,78,"M","U",89600,48,0
12361,100,1,4,1,100,100,62.5,19,49,55,"F","H",577800,28,71979
6183,100,1,15,7,100,50,25.8,16,129,73,"M","H",159800,0,70682
13188,100,2,11,9,100,87.5,47.18,21,93,47,"F","U",67900,1,45767
158545,100,1,1,1,50,50,50,20,20,37,"F","U",460100,32,82711
26378,100,1,1,1,50,50,50,24,24,60,"U","U",115300,23,0
147841,100,3,8,4,50,58.33,30.75,24,69,80,"F","H",562600,30,65906
169350,100,1,1,1,25,25,25,21,21,53,"F","H",88300,17,36408
14064,100,1,1,0,200,200,200,20,20,42,"M","H",91900,26,65592
185052,100,2,18,7,110,150,89.44,16,106,47,"M","H",244200,25,44554
108115,100,4,22,13,24,24.25,13.27,23,123,62,"M","H",80100,29,41024
149792,100,3,10,6,100,70,36.8,16,89,73,"U","H",194900,0,33927
41901,100,4,9,4,26,26.5,26.44,15,91,41,"M","U",38000,40,43750
102589,100,4,15,9,10,10,7.73,21,90,71,"M","U",46500,33,57019
6006,100,2,14,7,100,100,85,17,113,81,"F","U",94700,45,32981
23778,100,1,2,2,16,16,13,21,45,83,"F","U",108200,28,67067
67712,100,6,26,9,75,48.5,27.42,19,126,17,"F","U",45900,46,0
76780,75,1,5,4,50,50,33,24,65,81,"F","U",68800,31,42403
39967,75,1,1,1,50,50,50,24,24,67,"M","U",128900,45,52974
159424,75,2,7,2,50,50,25,15,79,73,"M","H",327600,33,0
